new,host,ttl,a,soa,status_code,aaaa,cname,cdn,cdn-name,ns,txt,mx,has_internal_ips,internal_ips
[x],drupal.stanford.edu,1800,54.81.116.232,"{'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,stanford.dns.bl.ink,,,,,,,
[x],forum.stanford.edu,1800,"23.53.35.198, 23.53.35.204","{'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727540181, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727540183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727540183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727540183, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'b.akamai.net', 'ns': 'n0b.akamai.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1727540184, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,"stanfordedu.edgesuite.net, a1662.b.akamai.net",,,,,,,
[x],lab.stanford.edu,1800,52.89.113.217,"{'name': 'us-west-2.compute.amazonaws.com', 'ns': 'dns-external-master.amazon.com', 'mailbox': 'root.amazon.com', 'serial': 120647, 'refresh': 600, 'retry': 120, 'expire': 604800, 'minttl': 900}, {'name': 'us-west-2.compute.amazonaws.com', 'ns': 'dns-external-master.amazon.com', 'mailbox': 'root.amazon.com', 'serial': 120647, 'refresh': 600, 'retry': 120, 'expire': 604800, 'minttl': 900}, {'name': 'us-west-2.compute.amazonaws.com', 'ns': 'dns-external-master.amazon.com', 'mailbox': 'root.amazon.com', 'serial': 120647, 'refresh': 600, 'retry': 120, 'expire': 604800, 'minttl': 900}, {'name': 'us-west-2.compute.amazonaws.com', 'ns': 'dns-external-master.amazon.com', 'mailbox': 'root.amazon.com', 'serial': 120647, 'refresh': 600, 'retry': 120, 'expire': 604800, 'minttl': 900}, {'name': 'us-west-2.compute.amazonaws.com', 'ns': 'dns-external-master.amazon.com', 'mailbox': 'root.amazon.com', 'serial': 120647, 'refresh': 600, 'retry': 120, 'expire': 604800, 'minttl': 900}",NOERROR,,ec2-52-89-113-217.us-west-2.compute.amazonaws.com,,,,,,,
[x],ldap.stanford.edu,1800,171.64.13.16,"{'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}",NOERROR,,ldap-lb.stanford.edu,,,,,,,
[x],live.stanford.edu,968,"108.138.7.94, 108.138.7.43, 108.138.7.93, 108.138.7.38","{'name': 'd1v0phes3s5vu3.cloudfront.net', 'ns': 'ns-455.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1v0phes3s5vu3.cloudfront.net', 'ns': 'ns-455.awsdns-56.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"2600:9000:2117:4a00:17:50fe:1ac0:93a1, 2600:9000:2117:4400:17:50fe:1ac0:93a1, 2600:9000:2117:1a00:17:50fe:1ac0:93a1, 2600:9000:2117:ee00:17:50fe:1ac0:93a1, 2600:9000:2117:7000:17:50fe:1ac0:93a1, 2600:9000:2117:9800:17:50fe:1ac0:93a1, 2600:9000:2117:6000:17:50fe:1ac0:93a1, 2600:9000:2117:4000:17:50fe:1ac0:93a1",d1v0phes3s5vu3.cloudfront.net,True,cloudfront,"ns-1437.awsdns-51.org, ns-1666.awsdns-16.co.uk, ns-455.awsdns-56.com, ns-837.awsdns-40.net",,,,
[x],mail.stanford.edu,1262,171.64.13.8,"{'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}",NOERROR,,smtp.stanford.edu,,,,,,,
[x],manager.stanford.edu,1800,54.81.116.232,"{'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,stanford.dns.bl.ink,,,,,,,
[x],mobile.stanford.edu,1800,,"{'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,stanford.dns.bl.ink,,,,,,,
[x],mysql.stanford.edu,1800,,"{'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'bl.ink', 'ns': 'ns-1434.awsdns-51.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,stanford.dns.bl.ink,,,,,,,
[x],private.stanford.edu,1800,,"{'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150918, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150918, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],prometheus.stanford.edu,1800,172.20.156.146,"{'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150919, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}",NOERROR,,,,,,,,True,172.20.156.146
[x],public.stanford.edu,1800,171.65.188.75,"{'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],sahr.stanford.edu,1800,,"{'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150919, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}, {'name': 'stanford.edu', 'ns': 'argus.stanford.edu', 'mailbox': 'hostmaster.stanford.edu', 'serial': 2024150921, 'refresh': 1200, 'retry': 600, 'expire': 1296000, 'minttl': 1800}",NOERROR,,,,,,,,,
